收款时间,收款项,金额,单位,留言,昵称
2026/03/22 12:16:07,四杯咖啡☕,100.00,¥,强烈支持版本迭代,cw
2026/03/19 13:41:05,四杯咖啡☕,100.00,¥,快去加班更新,背背背疼
2026/03/13 17:28:40,四杯咖啡☕,100.00,¥,非常感谢你的开源与付出，插件超实用，小小支持，继续加油！💪,一世风霜
2026/03/02 09:38:26,四杯咖啡☕,100.00,¥,非常好，开发不易，支持一下。,xuhsu
2026/01/14 15:58:04,任意打赏,88.00,¥,能力有限，不成敬意,wutay
2026/03/02 14:50:25,任意打赏,66.00,¥,感谢大佬！非常好用！,Patrick
2026/03/01 22:56:17,任意打赏,66.00,¥,随喜赞叹！,xday
2026/03/01 22:40:23,任意打赏,66.00,¥,大佬nb，插件很好用ヽ(*≧ω≦)ﾉ,HanHaocheng
2026/02/16 21:34:33,任意打赏,66.00,¥,新年快乐,Jack
2026/03/18 22:57:03,两杯咖啡☕,50.00,¥,感谢telegram上的指导,灰风
2026/03/15 20:09:05,两杯咖啡☕,50.00,¥,感谢🙏，插件好用,红星 RedStar
2026/03/14 23:46:58,两杯咖啡☕,50.00,¥,非常好整套架构，让我进入21世纪,fbeis
2026/03/02 21:00:43,两杯咖啡☕,50.00,¥,谢谢大佬,南科大小魏
2026/02/28 13:56:18,两杯咖啡☕,50.00,¥,太勤劳了，必须支持,xenon
2026/02/24 16:37:58,两杯咖啡☕,50.00,¥,很不错的同步方案,熙熙煦煦
2026/02/16 12:14:32,两杯咖啡☕,50.00,¥,感谢作者，新年快乐！,红殇
2026/02/14 18:01:55,两杯咖啡☕,50.00,¥,感谢开发这么棒的插件，解决了同步问题,Jacky龙
2026/02/04 10:41:49,两杯咖啡☕,50.00,¥,同步功能很好用，希望继续迭代完善，以笔记安全为主,咕咕咕
2026/01/31 16:59:55,两杯咖啡☕,50.00,¥,好好开发，确实解决了 Obsidian 最大的一个痛点！,vulnnull
2026/01/21 09:37:19,两杯咖啡☕,50.00,¥,谢谢你的Obsidian同步很好用👍🏻,Mojo抖音
2026/01/09 16:34:10,两杯咖啡☕,50.00,¥,谢谢男菩萨的 OB 插件造福世人(^🙏^)，小小心意不成敬意。,喆
2026/03/04 21:42:57,任意打赏,30.00,¥,插件很好用，感谢开发者,X
2026/02/25 10:55:32,任意打赏,30.00,¥,大佬的项目帮了我大忙！非常感谢！希望大佬继续加油,jeanlaw
2026/03/13 13:43:33,任意打赏,29.00,¥,好作品，加油！,rocku
2026/02/24 18:36:51,任意打赏,25.00,¥,"一直找不到理想的obsidian的同步方案,感谢作者 加油！",淇淇
2026/03/19 22:47:54,一杯咖啡☕,20.00,¥,谢谢🙏！很赞！,jediknight
2026/03/19 20:20:17,一杯咖啡☕,20.00,¥,感谢开发者，太好用了，加油！,Fcjd
2026/03/17 01:17:02,一杯咖啡☕,20.00,¥,做的太好了，大道至简，希望继续优化~,southzen
2026/03/16 16:24:11,一杯咖啡☕,20.00,¥,非常好用的喵～谢谢喵～,长筱团子
2026/03/16 09:22:14,一杯咖啡☕,20.00,¥,不成敬意^_^,barry
2026/03/16 01:01:12,一杯咖啡☕,20.00,¥,感谢你对开源世界的贡献,Stone
2026/03/14 17:15:45,一杯咖啡☕,20.00,¥,感谢作者，不成敬意,R M
2026/03/14 00:39:54,一杯咖啡☕,20.00,¥,大佬NB，感谢感谢,T0_欣
2026/03/11 20:05:58,一杯咖啡☕,20.00,¥,感谢大佬做的插件，很好用很方便,Ucat
2026/03/10 01:08:20,一杯咖啡☕,20.00,¥,牛逼,la
2026/03/09 09:59:44,一杯咖啡☕,20.00,¥,好用，支持,耀/
2026/03/07 23:36:38,一杯咖啡☕,20.00,¥,很好的插件 支持,阿叶
2026/03/06 09:58:58,一杯咖啡☕,20.00,¥,谢谢,Dylan
2026/03/03 00:53:09,一杯咖啡☕,20.00,¥,感谢作者日夜辛苦的写代码，并开源,Alan
2026/03/01 21:10:27,一杯咖啡☕,20.00,¥,希望能更完善，可以在云端查看ob的其他格式的文件,Jack ☑️
2026/02/28 09:50:58,一杯咖啡☕,20.00,¥,这个插件思路很好，加油,tangdh
2026/02/27 12:48:50,一杯咖啡☕,20.00,¥,很好的同步插件,aban
2026/02/27 11:37:18,一杯咖啡☕,20.00,¥,感谢您的工作,三岁
2026/02/27 11:19:13,一杯咖啡☕,20.00,¥,太强了,行长
2026/02/26 11:16:25,一杯咖啡☕,20.00,¥,这么好的东西应该让更多人知道，加大宣传力度啊！,fausto
2026/02/25 20:17:42,一杯咖啡☕,20.00,¥,非常好用，感谢作者开发这么好的工具！,woloin
2026/02/24 18:29:45,一杯咖啡☕,20.00,¥,感谢作者开发那么好用的插件，让我的obsidian旋转🥰,kimi
2026/02/24 10:01:37,一杯咖啡☕,20.00,¥,插件好用,ccsir
2026/02/23 20:53:08,一杯咖啡☕,20.00,¥,用了一段时间了，真的太棒了。,KevinYAN
2026/02/23 19:32:03,一杯咖啡☕,20.00,¥,马年快乐,繁星影月
2026/02/23 12:30:55,一杯咖啡☕,20.00,¥,谢谢辛苦了,ahto
2026/02/23 06:24:55,一杯咖啡☕,20.00,¥,很有帮助，加油！,大学生
2026/02/15 09:25:17,一杯咖啡☕,20.00,¥,支持，加油~，很实用，强需求的功能。在AI时代大有用处,sfsun67
2026/02/10 23:21:38,一杯咖啡☕,20.00,¥,感谢大佬做的同步插件，非常好用，请大佬先喝一杯咖啡，后续还会再继续打赏的,toby
2026/02/10 11:41:36,一杯咖啡☕,20.00,¥,大佬的同步插件非常棒，我会一直持续支持的,WONG
2026/02/08 22:02:32,一杯咖啡☕,20.00,¥,非常好用，感谢,小迪
2026/02/06 08:42:49,一杯咖啡☕,20.00,¥,加油💪web端的图片编辑功能整一下呗,Max
2026/01/28 10:48:02,一杯咖啡☕,20.00,¥,加油,通
2026/01/26 17:21:27,一杯咖啡☕,20.00,¥,😘,CloseCV
2026/01/16 11:47:13,一杯咖啡☕,20.00,¥,很好用，期待后续的开发与优化。感谢。,苏
2026/01/15 14:51:11,一杯咖啡☕,20.00,¥,非常好用感谢！,灰风
2026/01/09 18:12:17,一杯咖啡☕,20.00,¥,插件思路太对了,xix
2026/01/03 22:44:43,一杯咖啡☕,20.00,¥,希望越来越好👌🏻,姚朝伟
2026/01/03 14:58:43,一杯咖啡☕,20.00,¥,很棒的同步方案，未来可期！非常感谢开源！加油！,roao
2026/03/11 09:58:20,任意打赏,18.00,¥,绵薄之力，以表敬意,下鞅
2026/03/02 21:15:39,任意打赏,10.00,¥,加油大神,路过打酱
2026/02/28 12:27:51,任意打赏,10.00,¥,希望越来越好,白芷
2026/02/27 15:54:55,任意打赏,10.00,¥,谢谢作者开发，感谢开源，祝越来越好。,柴特
2026/02/23 15:34:53,任意打赏,10.00,¥,感谢，比官方同步还好用,Joe M
2026/02/20 10:37:02,任意打赏,10.00,¥,感谢做了这么便捷的同步软件,羽山猫四叶
2026/03/22 15:09:43,任意打赏,9.90,¥,好软件，感谢作者。,Shifuwang
2026/01/28 12:03:03,任意打赏,9.90,¥,牛🐮,华星
2026/03/07 20:29:42,任意打赏,8.88,¥,感谢大佬，非常好用，点赞,皮皮
2026/01/28 02:52:15,任意打赏,8.88,¥,感谢分享,obsidian
2026/02/28 19:51:59,任意打赏,8.00,¥,很完善，甚至服务器界面也做得非常好看,yang
2026/03/02 17:10:28,任意打赏,6.66,¥,感谢开发，插件很好用，更新很快[强],马孔多的旅人
2026/02/01 23:44:27,任意打赏,6.66,¥,爱你,爱你
2026/01/09 22:22:25,任意打赏,6.66,¥,老哥写的插件很棒，继续努力吧！,kane
